Type_MLT,Family,Type,Sex,E0,age,mxn,qxn,lxn,Lxn,dxn,Txn,sxn,exn,axn
CD,North,CD North,Female,45,45,0.01220,0.05924,56076,272189,3322,1403387,0.93465,25.03,2.534
CD,North,CD North,Female,45,50,0.01522,0.07340,52754,254402,3872,1131198,0.91545,21.44,2.580
CD,North,CD North,Female,45,55,0.02063,0.09828,48882,232892,4804,876796,0.88233,17.94,2.602
CD,North,CD North,Female,45,60,0.03031,0.14129,44078,205488,6228,643904,0.82858,14.61,2.607
CD,North,CD North,Female,45,65,0.04625,0.20803,37850,170263,7874,438417,0.74707,11.58,2.589
CD,North,CD North,Female,45,70,0.07218,0.30628,29976,127198,9181,268154,0.63877,8.95,2.529
CD,North,CD North,Female,45,75,0.10966,0.42845,20795,81250,8910,140956,0.50383,6.78,2.449
CD,North,CD North,Female,45,80,0.16794,0.57842,11885,40936,6875,59706,0.36064,5.02,2.310
CD,North,CD North,Female,45,85,0.24337,0.71704,5011,14763,3593,18770,0.23546,3.75,2.136
CD,North,CD North,Female,45,90,0.33812,0.82896,1418,3476,1175,4007,0.14090,2.83,1.926
CD,North,CD North,Female,45,95,0.44760,0.90399,243,490,219,531,0.08001,2.19,1.703
CD,North,CD North,Female,45,100,0.56271,0.94698,23,39,22,41,0.04544,1.76,1.497
CD,North,CD North,Female,45,105,0.67207,0.96929,1,2,1,2,0.02725,1.48,1.330
CD,North,CD North,Female,45,110,0.76597,0.98048,0,0,0,0,0.01791,1.30,1.206
CD,North,CD North,Female,45,115,0.83961,0.98616,0,0,0,0,0.01305,1.19,1.121
CD,North,CD North,Female,45,120,0.89324,0.98916,0,0,0,0,0.01042,1.12,1.065
CD,North,CD North,Female,45,125,0.93020,0.99082,0,0,0,0,0.00900,1.07,1.029
CD,North,CD North,Female,45,130,0.95739,1.00000,0,0,0,0,,1.04,1.045
CD,North,CD North,Female,46,0,0.13597,0.12493,100000,91879,12493,4600000,0.83705,46.00,0.350
CD,North,CD North,Female,46,1,0.02831,0.10568,87507,326647,9248,4508121,0.91065,51.52,1.472
CD,North,CD North,Female,46,5,0.00933,0.04546,78259,381129,3558,4181474,0.96758,53.43,2.142
CD,North,CD North,Female,46,10,0.00496,0.02449,74701,368774,1830,3800344,0.97524,50.87,2.413
CD,North,CD North,Female,46,15,0.00535,0.02638,72872,359643,1922,3431571,0.97160,47.09,2.547
CD,North,CD North,Female,46,20,0.00622,0.03065,70950,349430,2174,3071927,0.96685,43.30,2.555
CD,North,CD North,Female,46,25,0.00728,0.03575,68775,337846,2459,2722497,0.96160,39.59,2.547
CD,North,CD North,Female,46,30,0.00840,0.04115,66317,324871,2729,2384652,0.95600,35.96,2.541
CD,North,CD North,Female,46,35,0.00960,0.04690,63588,310578,2982,2059780,0.95031,32.39,2.532
CD,North,CD North,Female,46,40,0.01075,0.05235,60605,295144,3173,1749202,0.94549,28.86,2.515
CD,North,CD North,Female,46,45,0.01179,0.05729,57433,279055,3291,1454058,0.93667,25.32,2.536
CD,North,CD North,Female,46,50,0.01476,0.07126,54142,261382,3858,1175003,0.91791,21.70,2.582
CD,North,CD North,Female,46,55,0.01999,0.09540,50284,239925,4797,913621,0.88568,18.17,2.604
CD,North,CD North,Female,46,60,0.02941,0.13741,45487,212497,6250,673696,0.83299,14.81,2.610
CD,North,CD North,Female,46,65,0.04498,0.20294,39237,177008,7963,461200,0.75292,11.75,2.592
CD,North,CD North,Female,46,70,0.07028,0.29951,31274,133273,9367,284192,0.64600,9.09,2.534
CD,North,CD North,Female,46,75,0.10703,0.42060,21907,86094,9214,150919,0.51180,6.89,2.456
CD,North,CD North,Female,46,80,0.16426,0.57020,12693,44063,7238,64825,0.36825,5.11,2.319
CD,North,CD North,Female,46,85,0.23871,0.70998,5455,16226,3873,20762,0.24151,3.81,2.147
CD,North,CD North,Female,46,90,0.33267,0.82397,1582,3919,1304,4536,0.14495,2.87,1.938
CD,North,CD North,Female,46,95,0.44180,0.90105,279,568,251,617,0.08233,2.22,1.714
CD,North,CD North,Female,46,100,0.55713,0.94547,28,47,26,49,0.04664,1.78,1.507
CD,North,CD North,Female,46,105,0.66726,0.96857,2,2,1,2,0.02784,1.49,1.336
CD,North,CD North,Female,46,110,0.76225,0.98014,0,0,0,0,0.01820,1.31,1.211
CD,North,CD North,Female,46,115,0.83699,0.98600,0,0,0,0,0.01319,1.19,1.124
CD,North,CD North,Female,46,120,0.89154,0.98908,0,0,0,0,0.01049,1.12,1.066
CD,North,CD North,Female,46,125,0.92919,0.99078,0,0,0,0,0.00904,1.08,1.030
CD,North,CD North,Female,46,130,0.95664,1.00000,0,0,0,0,,1.05,1.045
CD,North,CD North,Female,47,0,0.13023,0.12007,100000,92196,12007,4700000,0.84347,47.00,0.350
CD,North,CD North,Female,47,1,0.02694,0.10090,87993,329541,8878,4607804,0.91472,52.37,1.473
CD,North,CD North,Female,47,5,0.00890,0.04341,79115,385769,3434,4278263,0.96902,54.08,2.144
CD,North,CD North,Female,47,10,0.00475,0.02344,75681,373817,1774,3892495,0.97626,51.43,2.414
CD,North,CD North,Female,47,15,0.00513,0.02534,73907,364943,1873,3518678,0.97268,47.61,2.549
CD,North,CD North,Female,47,20,0.00599,0.02951,72034,354973,2126,3153735,0.96807,43.78,2.555
CD,North,CD North,Female,47,25,0.00700,0.03442,69908,343639,2406,2798762,0.96304,40.03,2.548
CD,North,CD North,Female,47,30,0.00807,0.03957,67502,330940,2671,2455123,0.95770,36.37,2.541
CD,North,CD North,Female,47,35,0.00922,0.04509,64831,316942,2924,2124183,0.95213,32.77,2.534
CD,North,CD North,Female,47,40,0.01036,0.05051,61907,301771,3127,1807241,0.94735,29.19,2.517
