"ISO.Code","Country.Name","X1950.5","X1951.5","X1952.5","X1953.5","X1954.5","X1955.5","X1956.5","X1957.5","X1958.5","X1959.5","X1960.5","X1961.5","X1962.5","X1963.5","X1964.5","X1965.5","X1966.5","X1967.5","X1968.5","X1969.5","X1970.5","X1971.5","X1972.5","X1973.5","X1974.5","X1975.5","X1976.5","X1977.5","X1978.5","X1979.5","X1980.5","X1981.5","X1982.5","X1983.5","X1984.5","X1985.5","X1986.5","X1987.5","X1988.5","X1989.5","X1990.5","X1991.5","X1992.5","X1993.5","X1994.5","X1995.5","X1996.5","X1997.5","X1998.5","X1999.5","X2000.5","X2001.5","X2002.5","X2003.5","X2004.5","X2005.5","X2006.5","X2007.5","X2008.5","X2009.5","X2010.5","X2011.5","X2012.5","X2013.5","X2014.5","X2015.5","X2016.5","X2017.5","X2018.5","X2019.5"
"SSD","South Sudan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,298.3829,294.9695,291.4229,287.7435,283.7512,279.9798,275.8525,271.5027,266.9067,262.0117,256.9287,251.987,246.2837,240.5976,234.3551,227.581,220.224,212.6679,204.3583,195.7311,186.4722,177.0016,168.154,159.6145,151.4389,143.6525,136.2928,129.484,123.2126,117.0723,111.2947,106.301,102.6951,100.8797,100.5163,100.4222,100.4459,100.5685,100.5805,100.8204
"ESP","Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.2466,24.3102,22.5243,20.8155,19.258,17.8799,16.5979,15.4647,14.4671,13.6309,12.9634,12.3768,11.8741,11.3977,10.9394,10.5137,10.0509,9.6014,9.1243,8.5918,8.0717,7.5631,7.09,6.6995,6.3751,6.1097,5.9072,5.7436,5.6009,5.4564,5.302,5.1275,4.9352,4.7323,4.5331,4.3378,4.1539,3.9937,3.8551,3.7394,3.6486,3.5795,3.5277,3.481,3.4302,3.3699
"LKA","Sri Lanka",NA,135.3964,133.723,131.7035,129.2161,125.8979,121.5453,116.0983,109.7298,103.0874,97.1523,92.7574,90.0038,88.1657,86.3848,84.2705,81.8625,79.2628,76.8909,75.1064,73.8936,72.9939,72.1584,71.1388,69.6495,67.5279,64.584,60.9857,57.0637,53.0313,49.2137,45.898,42.8724,39.4487,35.9077,32.3449,29.0617,26.4203,24.7237,23.9688,23.7675,23.6882,23.485,23.0601,22.4116,21.6225,20.8161,20.0129,19.2435,18.5183,17.8947,17.3557,16.8561,16.3796,30.2939,15.3524,14.6973,13.9967,13.4241,12.9989,12.6137,12.158,11.5725,10.9322,10.2239,9.5602,8.9657,8.4986,8.0632,7.7145
"PSE","State of Palestine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111.0954,104.6516,98.595,92.8389,87.3084,82.2302,77.5046,73.1141,69.0034,65.0994,61.4811,58.0821,54.9359,52.0401,49.4061,47.0416,44.902,43.0078,41.31,39.7404,38.2544,36.9051,35.5743,34.3664,33.3002,32.2617,31.342,30.4946,29.6897,28.9343,28.2034,27.4818,26.8049,26.1567,25.5849,25.0863,24.6621,24.2855,23.9754,23.6283,23.222,22.7284,22.1703,21.6334,21.0975
"SDN","Sudan",NA,NA,NA,205.9245,202.4506,199.2384,196.0082,192.7888,189.7467,186.7619,183.7756,180.9017,178.1197,175.5376,173.0496,170.749,168.6643,166.9534,165.3457,164.0851,163.0257,161.9903,161.1554,160.32,159.3212,158.3626,157.3549,156.2491,155.0465,154.001,153.0386,152.1673,151.2521,150.2639,149.106,147.7535,146.1411,144.349,142.4797,140.4258,138.2464,135.9852,133.6118,131.2453,128.745,126.1414,123.4125,120.4783,117.3318,114.035,110.554,107.0182,103.5549,100.1467,96.915,93.7574,90.8704,88.2085,85.7754,83.3793,81.1741,79.0861,77.1222,75.1137,73.1095,71.1483,69.1869,67.1949,65.2072,63.2543
"SUR","Suriname",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.206,60.0596,58.1881,56.3058,54.5132,52.8195,51.0925,49.4317,47.8771,46.2935,44.6635,43.0825,41.4799,39.9695,38.5715,37.2097,35.9027,34.6564,33.4769,32.3401,31.3135,30.3612,29.4595,28.6152,27.8478,27.0767,26.3574,25.6912,25.0349,24.4194,23.7872,23.1772,22.5655,21.9557,21.3036,20.6593,20.0603
"SWE","Sweden",30.5597,28.877,27.3799,26.1502,25.1852,24.3879,23.7568,23.2664,22.8736,22.5261,22.141,21.6704,21.066,20.2718,19.3269,18.3881,17.5685,16.8726,16.2744,15.7386,15.1611,14.5355,13.8305,13.0756,12.2929,11.5937,10.9892,10.5078,10.0953,9.7022,9.376,9.0837,8.8426,8.6543,8.4881,8.3787,8.285,8.1903,8.0935,7.9603,7.7208,7.3288,6.803,6.2658,5.7474,5.3142,4.9939,4.7787,4.6424,4.5628,4.506,4.4473,4.3666,4.2501,4.0945,3.9237,3.7618,3.616,3.4931,3.3974,3.3278,3.2746,3.2366,3.203,3.1689,3.1253,3.0618,2.9852,2.8945,2.7962
"CHE","Switzerland",42.9928,41.4941,40.0176,38.4918,36.9819,35.4142,33.9113,32.5327,31.428,30.606,29.9532,29.3422,28.6145,27.7461,26.6696,25.4855,24.386,23.4281,22.5348,21.696,20.8424,19.9336,18.9514,17.8949,16.7847,15.6715,14.6189,13.6957,12.8935,12.242,11.6833,11.2385,10.8633,10.5564,10.2807,10.0841,9.9262,9.7935,9.6415,9.4227,9.1297,8.7304,8.2966,7.8477,7.4355,7.0531,6.7711,6.5654,6.4179,6.3064,6.2031,6.0936,5.9665,5.821,5.6781,5.5317,5.3891,5.2535,5.1367,5.0297,4.9447,4.8749,4.8219,4.7804,4.734,4.676,4.6095,4.5375,4.4556,4.3589
"SYR","Syrian Arab Republic",NA,NA,NA,258.5124,242.8599,228.2517,214.6206,202.1658,190.7612,180.3883,170.8754,162.4816,155.044,148.2344,142.0241,135.9822,129.9838,123.956,117.8348,111.7538,105.8104,100.2017,94.994,90.0776,85.5272,81.1746,77.0366,73.0641,69.1587,65.5136,61.9016,58.6008,55.5742,52.779,50.2551,47.9521,45.8133,43.9426,42.2418,40.6999,39.1741,37.6908,36.1657,34.5877,33.0826,31.572,30.0928,28.7198,27.4241,26.2271,25.1513,24.2012,23.3723,22.6643,22.0782,21.602,21.2313,20.957,20.787,20.6894,20.6982,21.0695,23.5422,24.8686,25.7174,25.0143,25.1321,24.8571,24.0363,23.4295
"TJK","Tajikistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,163.9542,158.6886,153.471,148.9258,145.1095,141.9831,139.6951,138.3512,137.7345,137.3347,136.4836,134.8415,131.8578,127.7084,122.6013,117.1568,112.6248,109.8646,109.668,112.6484,117.4831,121.2359,121.8502,119.7845,115.7791,110.4094,104.1746,97.6413,90.9744,84.2906,77.8303,71.7952,66.3666,61.5568,57.5579,54.2391,51.5255,49.4735,47.7497,46.4045,45.1645,44.1511,43.139,42.0869,41.0998,39.9557,38.8501,37.7819
