Index,Variant,"Region, subregion, country or area *",1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020
Female,Estimates,Burkina Faso,511.7257313,481.1096005,452.004547,425.3310211,395.4823746,356.242401,287.8538419,288.4838741,301.327001,301.6334971,296.5344962,278.9071151,257.1051153,232.7598899
Male,Estimates,Burkina Faso,594.2516307,561.6901465,530.6363259,501.1833982,469.9928981,426.0466229,347.3438952,344.5837987,361.2800049,374.075408,348.8756008,310.2751039,286.5620754,264.683316
